Model,Make,Year,URL,Description,Image,Starting_Price,Pct_domestic_content
Cobalt,Chevrolet,2010,https://www.caranddriver.com/chevrolet/cobalt,"Cobalts are responsive and predictable, but lack pizzazz.",https://hips.hearstapps.com/hmg-prod/amv-prod-cad-assets/images/media/107033/2008-chevrolet-cobalt-photo-109034-s-986x603.jpg,15710,0.397692308
Airflow,Chrysler,2025,https://www.caranddriver.com/chrysler/airflow,"Chrysler will likely launch an EV crossover in the near future called the Airflow, which will compete with models such as the Ford Mustang Mach-E.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/chrysler-airflow-concept-screenshot-1638897688.jpg,50000,0.683333333
300,Chrysler,2022,https://www.caranddriver.com/chrysler/300,"Large sedans are quickly disappearing from dealership showrooms, but the 2022 Chrysler 300 is one big four-door still fighting its fall into obscurity.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2022-chrysler-300-mmp-1-1633361770.jpg,34110,0.69
Pacifica,Chrysler,2022,https://www.caranddriver.com/chrysler/pacifica,"For hauling people and cargo, minivans are simply superior to SUVs; nothing proves that better than our current favorite, the 2022 Chrysler Pacifica.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2022-chrysler-pacifica-hybrid-mmp-1-1633376456.jpg,38590,0.68
Voyager,Chrysler,2022,https://www.caranddriver.com/chrysler/voyager,"For those who didn't get the memo, the Dodge Caravan is officially dead, leaving the 2022 Voyager as the only choice for a budget minivan from Chrysler.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2022-chrysler-voyager-mmp-1-1633445515.jpg,33610,0.68
200,Chrysler,2017,https://www.caranddriver.com/chrysler/200,Not the worst but not the best might be an accurate—if less than dazzling—description of the 200.,https://hips.hearstapps.com/hmg-prod/amv-prod-cad-assets/wp-content/uploads/2016/08/2016-Chrysler-200-V-6-102.jpg,23210,0.683333333
Town & Country,Chrysler,2016,https://www.caranddriver.com/chrysler/town-country,"Whether it's shuttling kids, hauling stuff or providing comfort and space to spread out on road trips, the Town & Country faithfully performs its duties well.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2014-chrysler-town-country-30th-anniversary-edition-203-1558025761.jpg,30990,0.683333333
300 SRT,Chrysler,2014,https://www.caranddriver.com/chrysler/300-srt,"The 300 SRT follows an old-school recipe: SRT stuffed a big Hemi engine into a Chrysler 300 sedan—specifically a 470-hp, 6.",https://hips.hearstapps.com/hmg-prod/amv-prod-cad-assets/images/11q3/416729/2012-chrysler-300-srt8-photo-416975-s-986x603.jpg,46925,0.69
PT Cruiser,Chrysler,2010,https://www.caranddriver.com/chrysler/pt-cruiser,"The once-chic design is showing its age, but this compact five-door hatchback remains a versatile vehicle for its size.",https://hips.hearstapps.com/hmg-prod/amv-prod-cad-assets/images/media/199333/2008-chrysler-pt-cruiser-sunset-boulevard-edition-photo-199476-s-986x603.jpg,18995,0.05
Sebring,Chrysler,2010,https://www.caranddriver.com/chrysler/sebring,"The Sebring aims at the Honda Accord and Toyota Camry with a four-cylinder and two V-6s, a six-speed auto, and features such as a 20-gig hard drive for storing music.",https://hips.hearstapps.com/hmg-prod/amv-prod-cad-assets/images/06q4/8898/2007-chrysler-sebring-photo-203735-s-original.jpg,20870,0.683333333
Aspen,Chrysler,2009,https://www.caranddriver.com/chrysler/aspen,"The Aspen rides and handles well for such a large, body-on-frame SUV.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/chrysler-aspen-hybrid-1539702071.jpg,35580,0.683333333
Challenger eMuscle,Dodge,2024,https://www.caranddriver.com/dodge/challenger-emuscle,"Dodge is setting out to electrify its lineup, starting with a bold, modern take on the Challenger muscle car for the 2024 model year.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2024-dodge-challenger-emuscle-mmp-1-1625779353.png,50000,0.66
Challenger,Dodge,2022,https://www.caranddriver.com/dodge/challenger,"With a powerful and melodic V-8, the Dodge Challenger is a big, brash coupe that's surprisingly livable yet drives much different than its nimbler rivals.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2022-dodge-challenger-mmp-1-1634589207.jpg,31275,0.66
Challenger SRT Hellcat,Dodge,2022,https://www.caranddriver.com/dodge/challenger-srt-srt-hellcat,"With horsepower ratings that start with 7 and 8, the Dodge Challenger SRT Hellcat is a muscle car with what amounts to a nuclear reactor under its hood.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2022-dodge-challenger-srt-hellcat-super-stock-mmp-1-1634585571.jpg,64675,0.66
Charger,Dodge,2022,https://www.caranddriver.com/dodge/charger,"The Dodge Charger comes with compromises, but it's one of few full-size, non-luxury sedans that still pairs rear-wheel drive with thumping V-8 engines.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2022-dodge-charger-mmp-1-1634162897.jpg,32945,0.7
Charger SRT Hellcat,Dodge,2022,https://www.caranddriver.com/dodge/charger-srt-hellcat,"With a badass widebody design and cuss-inducing acceleration, the 717-hp Dodge Charger SRT Hellcat and 797-hp Hellcat Redeye are for adrenaline junkies with families.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2022-dodge-charger-srt-hellcat-mmp-1-1634309690.jpg,76045,0.7
Durango,Dodge,2022,https://www.caranddriver.com/dodge/durango,"Among mid-size three-row SUVs, there's only one muscle-ute: the 2022 Dodge Durango, which skips the usual four-cylinder and offers either a V-6 or optional V-8.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2022-dodge-durango-mmp-1-1635367243.jpg,37070,0.67
Durango SRT,Dodge,2022,https://www.caranddriver.com/dodge/durango-srt,"If a two-door muscle car no longer suits your needs Dodge has just the answer with the 2022 Durango SRT 392, which is powered by a rumbling 475-hp Hemi V-8.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2022-dodge-durango-srt-392-mmp-1-1635365247.jpg,67870,0.67
Durango SRT Hellcat,Dodge,2021,https://www.caranddriver.com/dodge/durango-srt-hellcat,"With a 710-hp supercharged V-8 and an aggressive visage, the Durango SRT Hellcat is one of the most outrageous three-row SUVs on the planet.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2021-dodge-durango-srt-hellcat-361-edit-1606323501.jpg,82590,0.67
Grand Caravan,Dodge,2020,https://www.caranddriver.com/dodge/grand-caravan,"With its cheap cost of entry and handy fold-flat second and third row seats, the Grand Caravan is good enough for a vacation rental but not much more.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2020-dodge-grand-caravan-mmp-1-1568059900.jpg,29025,0.67
Journey,Dodge,2020,https://www.caranddriver.com/dodge/journey,"With lots of cabin space and an unbeatable price, the Dodge Journey is practical for families on a budget but is ultimately disappointing.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2020-dodge-journey-mmp-1-1567701405.jpg,25170,0.676666667
Challenger SRT Demon,Dodge,2018,https://www.caranddriver.com/dodge/challenger-srt-demon,"The Challenger SRT Demon is even mightier than the Hellcat version, boasting up to 840 horsepower and exclusive drag-racing equipment.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/challengerdemon-1557775422.jpg,86390,0.66
Challenger SRT 392 / SRT Hellcat,Dodge,2017,https://www.caranddriver.com/dodge/challenger-srt-392-srt-hellcat-2017,The Challenger SRT 392 and SRT Hellcat's ultra-powerful engines makes them formidable weapons in the pony-car wars.,https://hips.hearstapps.com/hmg-prod/amv-prod-cad-assets/images/media/672263/2017-dodge-challenger-srt-392-srt-hellcat-in-depth-model-review-car-and-driver-photo-690931-s-original.jpg,51290,0.66
Viper,Dodge,2017,https://www.caranddriver.com/dodge/viper,"While fifth-generation Viper ended production in 2017, we thought an all-new model would debut in 2020, but the iconic nameplate is dead until further notice.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2017-dodge-viper-1557777646.jpg,92990,0.676666667
Dart,Dodge,2016,https://www.caranddriver.com/dodge/dart,"While the Dart is uniquely styled, it is otherwise a rather disappointing offering.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/dodge-dart-1557776035.jpg,18090,0.676666667
Avenger,Dodge,2014,https://www.caranddriver.com/dodge/avenger,"Despite a thorough update in 2011, the Avenger has become less competitive as it nears the end of its life cycle—2014 was its last year in production.",https://hips.hearstapps.com/hmg-prod/amv-prod-cad-assets/images/11q1/392364/2011-dodge-avenger-heat-photo-392381-s-986x603.jpg,21590,0.676666667
Caliber,Dodge,2012,https://www.caranddriver.com/dodge/caliber,"There's a five-speed manual and a continuously variable automatic transmission (CVT), which you should avoid if possible.",https://hips.hearstapps.com/hmg-prod/amv-prod-cad-assets/images/06q2/267359/2007-dodge-caliber-photo-8989-s-original.jpg,18130,0.676666667
Magnum,Dodge,2008,https://www.caranddriver.com/dodge/magnum,"This is the wagon version of the 10Best-winning rear-drive Chrysler 300, and it oozes with swagger.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/d2006-107high-1557777224.jpg,24120,0.676666667
Nitro,Dodge,2011,https://www.caranddriver.com/dodge/nitro,The Nitro is a compact sport-utility with typical in-your-face Dodge styling.,https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/dg012-001nt-1557777426.jpg,22995,0.676666667
296GTB,Ferrari,2022,https://www.caranddriver.com/ferrari/296-gtb,"With compact dimensions and a plug-in-hybrid powertrain, the new Ferrari 296GTB mixes the company's supercar ethos with cutting-edge technology.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2022-ferrari-296-gtb-mmp-1-1624538180.jpeg,250000,
F8,Ferrari,2022,https://www.caranddriver.com/ferrari/f8-tributo-spider,The Ferrari F8 Tributo and Spider back up their supercar presence with bona fide supercar acceleration and handling.,https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2020-ferrari-f8-tributo-209-1590706668.jpg,281000,
Portofino M,Ferrari,2022,https://www.caranddriver.com/ferrari/portofino,"With a bodacious bod, exhilarating engine, and top-notch performance, the Ferrari Portofino M has all the ingredients that define the Prancing Horse brand.",https://hips.hearstapps.com/vidthumb/images/ferrari-portofino-m-101-1600272934.jpg,227000,
Roma,Ferrari,2022,https://www.caranddriver.com/ferrari/roma,"For everyone who forgot, the Ferrari Roma reminds them that the Italian automaker still knows how to make a pretty front-engine coupe that's great to drive.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2021-ferrari-roma-108-1599666400.jpg,222620,
SF90 Stradale / Spider,Ferrari,2022,https://www.caranddriver.com/ferrari/sf90-stradale,"Thanks to a plug-in hybrid powertrain with almost 1000 horsepower, the Ferrari SF90 is the quickest accelerating car we've ever tested.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2021-ferrari-sf90-stradale-102-1626707777.jpg,507000,
812 Superfast / GTS,Ferrari,2021,https://www.caranddriver.com/ferrari/812-superfast,"The convertible GTS joins the Superfast coupe for 2021, rounding out Ferrari's V-12 grand-touring lineup.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2021-ferrari-812-gts-101-1617299991.jpg,335000,
Purosangue,Ferrari,2022,https://www.caranddriver.com/ferrari/purosangue,"Purists may be shocked at plans for the 2022 Purosangue, Ferrari's first SUV, but there's no need to fear that it will eschew the brand's values.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2022-ferrari-purosangue-render-1561049490.jpg,350000,
488 Pista,Ferrari,2020,https://www.caranddriver.com/ferrari/488,"A treat for the senses, the Ferrari 488 Pista is a masterpiece of stunning design and thrilling performance.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2019-ferrari-488-pista-125-1528476287.jpg,331000,
GTC4Lusso,Ferrari,2020,https://www.caranddriver.com/ferrari/gtc4lusso,"With a choice of powertrains, optional all-wheel drive, and enough room for four, the GTC4Lusso is a Ferrari you can drive every day of the year.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/170304-car-gtc4lusso-australia-1590010625.jpg,263750,
California T,Ferrari,2017,https://www.caranddriver.com/ferrari/california-t,"The California T is Ferrari's return to forced induction, but where the last turbo Ferrari was the beastly F40, the T is far tamer.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2017-ferrari-california-t-101-1557779071.jpg,206473,
F12berlinetta,Ferrari,2016,https://www.caranddriver.com/ferrari/f12berlinetta,"Sure, it costs more than a house, but the metal-melting aria from that incredibly operatic engine is priceless.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/f12-berlinetta-1557779302.jpg,323745,
FF,Ferrari,2016,https://www.caranddriver.com/ferrari/ff,The FF continues Ferrari's tradition of offering at least one curious—often plus-sized—four-seater in its lineup.,https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2012-ferrari-ff-photo-394052-s-986x603-1557780060.jpg,303750,
LaFerrari,Ferrari,2015,https://www.caranddriver.com/ferrari/laferrari,"Above sports cars, there are exotic sports cars—and then there's the LaFerrari.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2015-ferrari-laferrari-106-1557780467.jpg,1420112,
599GTB Fiorano,Ferrari,2012,https://www.caranddriver.com/ferrari/599gtb-fiorano,"Ferrari's most expensive offering, the front-engine 599 features aluminum construction, a thrilling V-12, and a driving experience that makes the price tag seem like a bargain.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/ferrari-fiorano-1557778248.jpg,330000,
F430,Ferrari,2010,https://www.caranddriver.com/ferrari/f430,"The F430 coupe and droptop Spider are fabulous cars, but the harder-core Scuderia models (the 430 Scuderia and 430 Scuderia Spider 16M) are even better.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/430-scuderia-1557779588.jpg,NA,
500X,Fiat,2022,https://www.caranddriver.com/fiat/500x,"Although it shares its underpinnings with the boxy Jeep Renegade, the 2022 Fiat 500X goes its own way with charming retro styling and a decidedly on-road focus.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2022-fiat-500x-yacht-club-capri-special-edition-03-1638226732.jpg,28120,0.0
124 Spider,Fiat,2020,https://www.caranddriver.com/fiat/124-spider,The 124 Spider features a quieter cabin with a nicer interior and more trunk space than the Mazda Miata upon which it's based.,https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2020-fiat-124-mmp-1-1567620436.jpg,26885,0.0
500L,Fiat,2020,https://www.caranddriver.com/fiat/500l,"Despite vast cargo space, great visibility, and standard Apple CarPlay/Android Auto integration, the 500L is awkward to drive, awkward to behold, and impossible to love.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2020-fiat-500l-mmp-1-1574184270.jpg,23995,0.0
500,Fiat,2019,https://www.caranddriver.com/fiat/500,Say goodbye to boring with this adorable scoop of Italian gelato—the Fiat 500 is ready to brighten up your garage.,https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2018-fiat-500-101-1557781050.jpg,17540,0.0
500 Abarth,Fiat,2019,https://www.caranddriver.com/fiat/500-500c-abarth,"The tiny 500 goes from pipsqueak to badass as the hot-rod Abarth, the heart of which is a raucous 160-hp turbocharged four-cylinder.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/ft019-013fhn2n0ltfe3cl0l6domjo8p3icdj-1557781640.jpg,21790,0.0
500e,Fiat,2019,https://www.caranddriver.com/fiat/500e,"With its tiny size, zippy handling, and an EPA-estimated range of 84 miles, the 500e is a fine city car—as long as you don't need to go anywhere else.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/ft019-033fhbhvp2kjld02ibqfkdbplcdf9qi-1557781433.jpg,34290,0.0
Ocean,Fisker,2023,https://www.caranddriver.com/fisker/ocean,The all-electric 2023 Fisker Ocean looks to be an affordable and attractive alternative to the Tesla Model Y and other EV SUVs.,https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/manhattan-beach-pier-fisker-ocean-press-event-20211116-l064544-1637125179.jpg,39000,
Karma,Fisker,2013,https://www.caranddriver.com/fisker/karma,"The cheapest version,the EcoStandard, costs $103,000.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2012-fisker-karma-photo-386759-s-986x603-1557782266.jpg,105000,
F-150 Lightning,Ford,2022,https://www.caranddriver.com/ford/f-150-lightning,"Ford is gearing up to enter the nascent all-electric pickup truck marketplace with the 2022 F-150 Lightning, which we expect to be both practical and desirable.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2022-ford-f-150-lightning-104-1621443879.jpg,42000,0.55
Bronco Raptor,Ford,2023,https://www.caranddriver.com/ford/bronco-raptor,"The Ford Bronco Raptor will likely rock a powerful twin-turbo V-6, a seriously sturdy suspension, and hardcore off-road hardware to become the ultimate Bronco.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/bronco-raptor-4-1636424140.png,65000,0.61
Ranger,Ford,2023,https://www.caranddriver.com/ford/ranger,Ford's mid-size Ranger is getting a re-do for 2023 that should give it the ammunition it needs to continue its charge in the pickup truck wars.,https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/nextgenranger-wildtrak-front-3qtr-static-1637737816.jpg,27000,0.45
Ranger Raptor,Ford,2023,https://www.caranddriver.com/ford/ranger-raptor,"With bulging bodywork and off-road-ready hardware, the Ford Ranger Raptor downsizes the badass style and rip-roaring thrills of the larger F-150 Raptor.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/i-7gszmrg-x4-copy-1612203061.jpg,44500,0.45
Bronco,Ford,2022,https://www.caranddriver.com/ford/bronco,The Ford Bronco is more than a retro-styled off-roader; its capability matched by a civility that vaults this mid-size SUV ahead of the Jeep Wrangler.,https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2021-ford-bronco-outer-banks-109-1635347018.jpg,30795,0.61
Bronco Sport,Ford,2022,https://www.caranddriver.com/ford/bronco-sport,"The Ford Bronco Sport compact SUV looks like a baby version of the big Bronco, but thoughtful features and a capable off-road model make it delightful in its own right.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/22-frd-brospt-50790-badlands-area51-1-1636472522.jpg,28760,0.61
E-Transit,Ford,2022,https://www.caranddriver.com/ford/e-transit,The 2022 E-Transit will be a new nameplate for the Ford lineup when it goes on sale in 2021 and will be the first electric full-size commercial van on the U.S. market.,https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2022-ford-e-transit-103-1605139067.jpg,45000,0.15
EcoSport,Ford,2022,https://www.caranddriver.com/ford/ecosport,"Apart from a notable tow rating and standard all-wheel drive, the Ford EcoSport is a flawed subcompact SUV that's not long for this world.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2018-ford-ecosport-mmp-1-1637615492.jpg,23235,0.16
Edge,Ford,2022,https://www.caranddriver.com/ford/edge,"With many mid-size SUVs offering three-row layouts, the 2022 Ford Edge is among a rarer group that prioritizes two-row comfort over maximum people-hauling.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/21edge-titaniumelite-01-1634831012.jpg,36690,0.41
Escape,Ford,2022,https://www.caranddriver.com/ford/escape,"Ford's flashy Bronco signals the brand's fresh focus on off-the-grid adventure, but its bread-and-butter Escape crossover still caters to the on-road crowd.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/21-escp-se-hydsprtpckg-34frntpassmotnfrrstrd-mj-1635199969.jpg,26800,0.4
Expedition,Ford,2022,https://www.caranddriver.com/ford/expedition,"The Ford Expedition has the spaciousness, stylishness, and tech-savviness that SUV shoppers want but isn't as refined or as nice to drive as many rivals.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2022-ford-expedition-stealth-performance-package-107-1632151796.jpg,52775,0.6
Explorer,Ford,2022,https://www.caranddriver.com/ford/explorer,"The 2022 Ford Explorer is a well-rounded and fairly practical three-row SUV with a few compromises, but overall it's a decent choice in a crowded segment.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2022-explorer-st-line-01-1629468897.jpg,34540,0.48
GT,Ford,2022,https://www.caranddriver.com/ford/gt,"The Ford GT impersonates the famous GT40 race car, but its 660-hp boosted V-6 and transformative aero and chassis parts prove the connection is only skin deep.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2022-ford-gt-heritage-edition-110-1628777666.jpg,500000,0.12
Maverick,Ford,2022,https://www.caranddriver.com/ford/maverick,"Small trucks are making a comeback, and the 2022 Ford Maverick may be the first to launch what could be the next frontier in the American pickup wars.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2022-ford-maverick-16-1633385607.jpg,21490,0.39285714299999996
Mustang,Ford,2022,https://www.caranddriver.com/ford/mustang,"With a range of performance upgrades and myriad personalization options, there's a Ford Mustang for everyone, which is why it's still the definitive pony car.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2022-ford-mustang-stealth-edition-02-1633475393.jpg,28400,0.77
Mustang Mach-E,Ford,2022,https://www.caranddriver.com/ford/mustang-mach-e,"With fun driving traits and notable range, the stylish Ford Mustang Mach-E moves is a top-rank electric vehicle that also happens to be a terrific crossover.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2021-ford-mustang-mach-e-4-108-1612182937.jpg,43995,0.77
Mustang Shelby GT500,Ford,2022,https://www.caranddriver.com/ford/mustang-shelby-gt500,"Despite performance numbers that rival exotic sports cars, the Ford Mustang Shelby GT500 is easy to live with, making it equal parts pony car and thrill ride.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2022-ford-mustang-shelby-gt500-02-1636734552.jpg,74660,0.12
Super Duty,Ford,2022,https://www.caranddriver.com/ford/super-duty,"Ford Super Duty pickup trucks live up to their name, with hugely impressive capabilities and an array of modern technologies.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2022-ford-super-duty-119-1615216822.jpg,36895,0.39285714299999996
Transit Connect,Ford,2022,https://www.caranddriver.com/ford/transit-connect,"Despite not being very quick or refined, the Ford Transit Connect's nimbleness and boundless configurability make it a great city van for tradespeople.",https://hips.hearstapps.com/hmg-prod/amv-prod-cad-assets/wp-content/uploads/2018/02/2019-Ford-Transit-Connect-106.jpg,26570,0.15
F-150,Ford,2021,https://www.caranddriver.com/ford/f-150,"From stripped-down work truck to chrome-laden luxury rig, there's a Ford F-150 model to suit every purpose, and for 2021 all of those variants are brand new.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2021-ford-f-150-hybrid-lariat-117-1605761615.jpg,30985,0.55
F-150 Raptor,Ford,2021,https://www.caranddriver.com/ford/f-150-raptor,The third-generation Ford F-150 Raptor looks to improve on the intimidating image and desert-pounding capabilities that made the high-performance truck famous.,https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2021-ford-f-150-raptor-14-1630328954.jpg,65840,0.55
Ford Fusion Active,Ford,2021,https://www.caranddriver.com/ford/fusion-active,The upcoming Ford Fusion Active is expected to replace the outgoing sedan and compete against rugged station wagons such as the Subaru Outback.,https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2022-ford-fusion-active-rendering-1586264388.jpg,29000,0.39285714299999996
Transit,Ford,2021,https://www.caranddriver.com/ford/transit,"The Transit lineup has models that can haul lots of people or large loads of cargo, and offers Ford's latest driver-assistance features and safety tech.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2021-ford-transit-mmp-1-1596662357.jpg,33090,0.15
Fusion / Fusion Hybrid,Ford,2020,https://www.caranddriver.com/ford/fusion,"With a plethora of turbocharged and hybrid powertrains, the 2020 Ford Fusion offers buyers lots to choose from but lacks a point of view.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2020-ford-fusion-mmp-1-1568742907.jpeg,24365,0.39285714299999996
Mustang Shelby GT350,Ford,2020,https://www.caranddriver.com/ford/mustang-shelby-gt350-gt350r,"The 2020 Ford Mustang Shelby GT350 is a powerful, high-strung muscle car designed to rock race tracks while still being at home on the street.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2020-ford-mustang-shelby-gt350r-101-1565613876.jpg,61635,0.12
Fiesta,Ford,2019,https://www.caranddriver.com/ford/fiesta,"Though the Fiesta might be small, it is still mighty fierce.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2017-ford-fiesta-1557785069.jpg,15235,0.475
Fiesta ST,Ford,2019,https://www.caranddriver.com/ford/fiesta-st,"The Fiesta ST isn't as badass as the die-hard Ford Focus RS, but that makes it all the more lovable, er, fun.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2017-ford-fiesta-st-114-1-1557785159.jpg,22315,0.475
Flex,Ford,2019,https://www.caranddriver.com/ford/flex,The funky 2019 Flex is Ford's answer to those seeking a modern version of the old-school station wagon.,https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2016-ford-flex-ecoboost-awd-1-1557785294.jpg,31670,0.39285714299999996
Taurus,Ford,2019,https://www.caranddriver.com/ford/taurus,"Once a household name, the Ford Taurus is now destined for the great scrap-heap in the sky as 2019 will be its last year on sale.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2016-ford-taurus-limited-2t-fwd-1-1557786915.jpg,28895,0.0
C-Max,Ford,2018,https://www.caranddriver.com/ford/c-max,"While comfortable and competent, the C-Max's high EPA-estimated fuel-economy numbers are basically fantasy.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2017-ford-c-max-hybrid-104-1557782688.jpg,24995,0.39285714299999996
Focus,Ford,2018,https://www.caranddriver.com/ford/focus,"The Focus ceased production in 2018, but as a used car it's a great value either as a hatchback or a sedan.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2017-ford-focus-1557785498.jpg,18825,0.39285714299999996
Focus Electric,Ford,2018,https://www.caranddriver.com/ford/focus-electric,"You might miss the exhaust note, but otherwise the Focus Electric is very similar to its gasoline-powered sibling.",https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2016-ford-focus-bev-101-1-1557785727.jpg,29995,0.39285714299999996
Focus RS,Ford,2018,https://www.caranddriver.com/ford/focus-rs,All good things must come to an end: The fantastic Ford Focus RS enters its final year of production packed with performance paraphernalia and ready to desecrate a racetrack near you.,https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2016-ford-focus-rs-101-1557785824.jpg,41995,0.01
Focus ST,Ford,2018,https://www.caranddriver.com/ford/focus-st,The Focus ST satisfies performance fanatics who can't afford the track-ready Focus RS or want more power and practicality than the terrific albeit tiny Ford Fiesta ST.,https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2015-ford-focus-st-170-1557785906.jpg,26045,0.39285714299999996
C-Max / C-Max Energi,Ford,2017,https://www.caranddriver.com/ford/c-max-c-max-energi-2017,"The Ford C-Max and C-Max Energi have their virtues, but for many buyers these might not justify the hybrid price premium.",https://hips.hearstapps.com/hmg-prod/amv-prod-cad-assets/images/media/672263/2017-ford-c-max-c-max-energi-in-depth-model-review-car-and-driver-photo-683614-s-original.jpg,25050,0.39285714299999996
F-Series Super Duty,Ford,2017,https://www.caranddriver.com/ford/f-series-super-duty-2017,The aptly named Super Duty pickups will suit buyers who need to haul or tow the biggest loads.,https://hips.hearstapps.com/hmg-prod/amv-prod-cad-assets/images/media/672263/2017-ford-f-series-super-duty-in-depth-model-review-car-and-driver-photo-682575-s-original.jpg,33830,0.475
Explorer Sport Trac,Ford,2010,https://www.caranddriver.com/ford/explorer-sport-trac,The Sport Trac is an Explorer SUV with a pickup bed out back.,https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/2007-ford-explorer-sport-trac-photo-40464-s-986x603-1557783822.jpg,29025,0.48
