Model,Make,Year,URL,Description,Pct_domestic_content
CT6,Cadillac,2020,https://www.caranddriver.com/cadillac/ct6,"With some affordable models and a beautiful exterior design, the 2020 Cadillac CT6 is a striking and engaging sedan, but it leaves high-end luxury at the door.",0.48
ATS,Cadillac,2019,https://www.caranddriver.com/cadillac/ats,"Combining impressive performance and distinctive styling in a tidy package, the ATS continues to challenge the best from Europe and Japan.",0.48
ATS-V,Cadillac,2019,https://www.caranddriver.com/cadillac/ats-v,"The ATS-V is Cadillac's athletic, muscle-bound contender, eager to represent the home team in the fight against other performance rides like the BMW M3 and M4.",0.48
CTS,Cadillac,2019,https://www.caranddriver.com/cadillac/cts,"In a field of luxury sports sedans that are directed more toward the posh end of that spectrum, the 2019 Cadillac CTS is a breath of fresh air for driving enthusiasts.",0.48
CTS-V,Cadillac,2019,https://www.caranddriver.com/cadillac/cts-v,Now this is our kind of Cadillac: It's got a supercharged 640-hp 6.,0.48
XTS,Cadillac,2019,https://www.caranddriver.com/cadillac/xts,"Large luxury has always been the name of  the game for Cadillac, but its not-quite-a-flagship XTS sedan proves that the company is no longer at the head of the pack for land yachts.",0.48
ELR,Cadillac,2016,https://www.caranddriver.com/cadillac/elr,"It's astonishing to look at, beautifully crafted inside and out, and the first electric-hybrid Cadillac since…ever.",0.48
SRX,Cadillac,2016,https://www.caranddriver.com/cadillac/srx,Cadillac's SRX is an avant-garde alternative in a segment founded by the more unadventurous Lexus RX350.,0.1875
Escalade EXT,Cadillac,2013,https://www.caranddriver.com/cadillac/escalade-ext,"The EXT is the strange union of the Escalade SUV and the Chevrolet Avalanche pickup, which means it has the fold-down Midgate that allows added cargo flexibility.",0.46
DTS,Cadillac,2011,https://www.caranddriver.com/cadillac/dts,The DTS is conceived to please owners who prioritize posh living-room comfort.,0.48
STS,Cadillac,2011,https://www.caranddriver.com/cadillac/sts,"The STS can hold its own on a challenging road, with a 302-hp V-6 and six-speed automatic transmission and either rear- or all-wheel drive.",0.48
XLR,Cadillac,2009,https://www.caranddriver.com/cadillac/xlr,"The XLR is based on the Chevrolet Corvette, featuring a 320-hp V-8 under the hood, a folding hardtop, and offering back-road manners and performance on par with top European GT convertibles.",0.48
Silverado EV,Chevrolet,2023,https://www.caranddriver.com/chevrolet/silverado-ev,"Jumping into the electric pickup truck arena, Chevrolet announced it will launch an electric version of its Silverado light-duty truck for 2023. ",0.46
Blazer,Chevrolet,2022,https://www.caranddriver.com/chevrolet/blazer,"The Chevy Blazer is more distinctive than most mid-size SUVs and also more enjoyable to drive than most, but neither its interior quality nor value are great.",0.49
Bolt EUV,Chevrolet,2022,https://www.caranddriver.com/chevrolet/bolt-euv,"Chevrolet's EV lineup expands to include the 2022 Bolt EUV, a larger and ruggedized version of the all-electric Bolt hatchback, that will go on sale in summer 2021. ",0.397692308
Bolt EV,Chevrolet,2022,https://www.caranddriver.com/chevrolet/bolt-ev,"The redesigned Bolt EV hatchback benefits from a more muscular appearance, multiple interior enhancements, and a significantly lower starting price.",0.397692308
Colorado,Chevrolet,2022,https://www.caranddriver.com/chevrolet/colorado,"The Chevy Colorado lacks popular driver assists and has a low-quality interior, but it handles better than most rivals and offers the awesome ZR2 off-roader. ",0.6
Corvette,Chevrolet,2022,https://www.caranddriver.com/chevrolet/corvette,"The Chevrolet Corvette offers a 490-hp V-8 engine, brilliant performance, and an affordable base price—a combination that makes it a supercar for the masses. ",0.01
Corvette Z06,Chevrolet,2023,https://www.caranddriver.com/chevrolet/corvette-z06,"The new Chevy Corvette Z06 could destabilize the supercar status quo with an exotic engine, hair-raising performance, and a price that starts under six figures. ",0.01
Equinox,Chevrolet,2022,https://www.caranddriver.com/chevrolet/equinox,"The Equinox has a roomy interior and myriad desirable features, but otherwise it's an unremarkable compact crossover with mainstream attractions.",0.38
Silverado 1500,Chevrolet,2022,https://www.caranddriver.com/chevrolet/silverado-1500,"The Ram 1500 has a smoother ride, and the Ford F-150 has more novelties, but the 2022 Chevy Silverado 1500 pickup is equally capable and notably improved.",0.46
Silverado ZR2,Chevrolet,2022,https://www.caranddriver.com/chevrolet/silverado-1500-zr2,"With a distinctive appearance and a race-inspired suspension, the Chevy Silverado ZR2 is the most off-road-capable machine in the brand's portfolio.",0.46
Silverado HD,Chevrolet,2022,https://www.caranddriver.com/chevrolet/silverado-2500hd-3500hd,"The Chevy Silverado 2500HD and 3500HD combine unmistakably bold styling with colossal capabilities, and their optional Duramax diesel is highly satisfying. ",0.46
Suburban,Chevrolet,2022,https://www.caranddriver.com/chevrolet/suburban,"With delightful engine options and copious cargo space, the sophisticated Chevy Suburban excels at pulling trailers as well as hauling people and their stuff.",0.46
Tahoe,Chevrolet,2022,https://www.caranddriver.com/chevrolet/tahoe,"With an 8400-pound max tow rating and a third row that fits adults, the Chevy Tahoe hits all the hallmarks of a large SUV and resides at the top of its class.",0.46
Trailblazer,Chevrolet,2022,https://www.caranddriver.com/chevrolet/trailblazer,"Despite a pair of underpowered engines and expensive top trims, the Chevy Trailblazer is an attractive, agile, and surprisingly spacious subcompact crossover.",0.49
Trax,Chevrolet,2022,https://www.caranddriver.com/chevrolet/trax,"Propping up the small end of the Chevy lineup is the 2022 Trax, which offers SUV basics such as tall ride height, optional all-wheel drive, and not much else.",0.04
Traverse,Chevrolet,2022,https://www.caranddriver.com/chevrolet/traverse,"Spacious, family-friendly, and strong on infotainment tech, this handsome SUV is a solid minivan-alternative. ",0.01
Camaro,Chevrolet,2021,https://www.caranddriver.com/chevrolet/camaro,"With great-sounding engines and a transformative 1LE track package, the Camaro is the pony car for those who prioritize performance over everyday livability. ",0.57
Camaro ZL1,Chevrolet,2021,https://www.caranddriver.com/chevrolet/camaro-zl1,"With 650 horsepower and a track-focused 1LE package, the Chevy Camaro ZL1 isn't for the faint of heart; it's for anyone whose heart beats for the track time. ",0.57
Express,Chevrolet,2021,https://www.caranddriver.com/chevrolet/express,"If you need to ferry large groups of passengers or tote lots of cargo, a full-size van such as the 2021 Chevrolet Express may be the best choice. ",0.475
Malibu,Chevrolet,2021,https://www.caranddriver.com/chevrolet/malibu,Beneath the 2021 Chevrolet Malibu's sleek exterior hides a fairly ho-hum interior and hardware that gets the job done but little more.   ,0.46
Spark,Chevrolet,2021,https://www.caranddriver.com/chevrolet/spark,"Shoppers looking to avoid subcompact crossovers will appreciate the Chevy Spark, which has a terrific value proposition and upscale interior and ride quality. ",0.01
Sonic,Chevrolet,2020,https://www.caranddriver.com/chevrolet/sonic,The 2020 Chevy Sonic is basic transportation with a turbocharged engine and promises of driving excitement in an affordable package.,0.397692308
Corvette ZR1,Chevrolet,2019,https://www.caranddriver.com/chevrolet/corvette-zr1,"As a targa or a convertible, the ZR1's flamboyant bodywork clearly denotes it as the pinnacle of the Corvette lineup.",0.01
Cruze,Chevrolet,2019,https://www.caranddriver.com/chevrolet/cruze,"Getting mentioned in the compact-car segment is no easy feat, but the Chevrolet Cruze is doing its best.",0.397692308
Impala,Chevrolet,2019,https://www.caranddriver.com/chevrolet/impala,"Since the nameplate's introduction way back in 1958, the Impala has offered large-car spaciousness at an affordable price, and this current generation is no different.",0.397692308
Volt,Chevrolet,2019,https://www.caranddriver.com/chevrolet/volt,"The Chevrolet Volt remains one of the best plug-in hybrids on the market, with impressive all-electric range and everyday practicality.",0.397692308
City Express,Chevrolet,2018,https://www.caranddriver.com/chevrolet/city-express,"Lurking behind the bow tie on the grille is a Nissan NV200, but that's not all bad.",0.475
Silverado 2500HD/3500HD,Chevrolet,2018,https://www.caranddriver.com/chevrolet/silverado-2500hd,"The 2018 Chevrolet 2500HD and 3500HD pickups are built to work, with excellent cargo capacity, good towing ability, and a powerful diesel-engine option.",0.46
SS,Chevrolet,2017,https://www.caranddriver.com/chevrolet/ss-archive,Don't judge the SS by its cover: Ho-hum styling hides a mighty V-8 and track-ready tuning.,0.397692308
Spark EV,Chevrolet,2016,https://www.caranddriver.com/chevrolet/spark-ev,The Spark EV dials in some much needed fun by improving just about everything wrong with its gas-powered counterpart.,0.01
Camaro Z/28,Chevrolet,2015,https://www.caranddriver.com/chevrolet/camaro-z-28,The legendary Z/28 returns but forget the 80s: This one takes its inspiration from the original Z/28 of 1967.,0.57
Avalanche,Chevrolet,2013,https://www.caranddriver.com/chevrolet/avalanche,"For a monster truck, the Avalanche drives pretty well, with good steering and brake-pedal feel.",0.397692308
Aveo,Chevrolet,2011,https://www.caranddriver.com/chevrolet/aveo,"Built in Korea by Daewoo, the Aveo is basic transportation, and its attractive pricing includes lots of standard features.",0.397692308
HHR,Chevrolet,2011,https://www.caranddriver.com/chevrolet/hhr,"A smooth-riding wagonette, the HHR (for Heritage High Roof) is an example of retro design that both looks good and works well in utilitarian terms: the boxy shape makes it roomy inside.",0.397692308
Cobalt,Chevrolet,2010,https://www.caranddriver.com/chevrolet/cobalt,"Cobalts are responsive and predictable, but lack pizzazz.",0.397692308
300,Chrysler,2022,https://www.caranddriver.com/chrysler/300,"Large sedans are quickly disappearing from dealership showrooms, but the 2022 Chrysler 300 is one big four-door still fighting its fall into obscurity. ",0.69
Pacifica,Chrysler,2022,https://www.caranddriver.com/chrysler/pacifica,"For hauling people and cargo, minivans are simply superior to SUVs; nothing proves that better than our current favorite, the 2022 Chrysler Pacifica.",0.68
Voyager,Chrysler,2022,https://www.caranddriver.com/chrysler/voyager,"For those who didn't get the memo, the Dodge Caravan is officially dead, leaving the 2022 Voyager as the only choice for a budget minivan from Chrysler. ",0.68
200,Chrysler,2017,https://www.caranddriver.com/chrysler/200,Not the worst but not the best might be an accurate—if less than dazzling—description of the 200.,0.683333333
Town & Country,Chrysler,2016,https://www.caranddriver.com/chrysler/town-country,"Whether it's shuttling kids, hauling stuff or providing comfort and space to spread out on road trips, the Town & Country faithfully performs its duties well.",0.683333333
300 SRT,Chrysler,2014,https://www.caranddriver.com/chrysler/300-srt,"The 300 SRT follows an old-school recipe: SRT stuffed a big Hemi engine into a Chrysler 300 sedan—specifically a 470-hp, 6.",0.69
PT Cruiser,Chrysler,2010,https://www.caranddriver.com/chrysler/pt-cruiser,"The once-chic design is showing its age, but this compact five-door hatchback remains a versatile vehicle for its size.",0.05
Sebring,Chrysler,2010,https://www.caranddriver.com/chrysler/sebring,"The Sebring aims at the Honda Accord and Toyota Camry with a four-cylinder and two V-6s, a six-speed auto, and features such as a 20-gig hard drive for storing music.",0.683333333
Aspen,Chrysler,2009,https://www.caranddriver.com/chrysler/aspen,"The Aspen rides and handles well for such a large, body-on-frame SUV.",0.683333333
Challenger eMuscle,Dodge,2024,https://www.caranddriver.com/dodge/challenger-emuscle,"Dodge is setting out to electrify its lineup, starting with a bold, modern take on the Challenger muscle car for the 2024 model year. ",0.66
Challenger,Dodge,2022,https://www.caranddriver.com/dodge/challenger,"With a powerful and melodic V-8, the Dodge Challenger is a big, brash coupe that's surprisingly livable yet drives much different than its nimbler rivals.",0.66
Challenger SRT Hellcat,Dodge,2022,https://www.caranddriver.com/dodge/challenger-srt-srt-hellcat,"With horsepower ratings that start with 7 and 8, the Dodge Challenger SRT Hellcat is a muscle car with what amounts to a nuclear reactor under its hood.",0.66
Charger,Dodge,2022,https://www.caranddriver.com/dodge/charger,"The Dodge Charger comes with compromises, but it's one of few full-size, non-luxury sedans that still pairs rear-wheel drive with thumping V-8 engines. ",0.7
Charger SRT Hellcat,Dodge,2022,https://www.caranddriver.com/dodge/charger-srt-hellcat,"With a badass widebody design and cuss-inducing acceleration, the 717-hp Dodge Charger SRT Hellcat and 797-hp Hellcat Redeye are for adrenaline junkies with families. ",0.7
Durango,Dodge,2022,https://www.caranddriver.com/dodge/durango,"Among mid-size three-row SUVs, there's only one muscle-ute: the 2022 Dodge Durango, which skips the usual four-cylinder and offers either a V-6 or optional V-8.",0.67
Durango SRT,Dodge,2022,https://www.caranddriver.com/dodge/durango-srt,"If a two-door muscle car no longer suits your needs Dodge has just the answer with the 2022 Durango SRT 392, which is powered by a rumbling 475-hp Hemi V-8. ",0.67
Durango SRT Hellcat,Dodge,2021,https://www.caranddriver.com/dodge/durango-srt-hellcat,"With a 710-hp supercharged V-8 and an aggressive visage, the Durango SRT Hellcat is one of the most outrageous three-row SUVs on the planet.",0.67
Grand Caravan,Dodge,2020,https://www.caranddriver.com/dodge/grand-caravan,"With its cheap cost of entry and handy fold-flat second and third row seats, the Grand Caravan is good enough for a vacation rental but not much more. ",0.67
Journey,Dodge,2020,https://www.caranddriver.com/dodge/journey,"With lots of cabin space and an unbeatable price, the Dodge Journey is practical for families on a budget but is ultimately disappointing.",0.676666667
Challenger SRT Demon,Dodge,2018,https://www.caranddriver.com/dodge/challenger-srt-demon,"The Challenger SRT Demon is even mightier than the Hellcat version, boasting up to 840 horsepower and exclusive drag-racing equipment.",0.66
Challenger SRT 392 / SRT Hellcat,Dodge,2017,https://www.caranddriver.com/dodge/challenger-srt-392-srt-hellcat-2017,The Challenger SRT 392 and SRT Hellcat's ultra-powerful engines makes them formidable weapons in the pony-car wars.,0.66
Viper,Dodge,2017,https://www.caranddriver.com/dodge/viper,"While fifth-generation Viper ended production in 2017, we thought an all-new model would debut in 2020, but the iconic nameplate is dead until further notice.",0.676666667
Dart,Dodge,2016,https://www.caranddriver.com/dodge/dart,"While the Dart is uniquely styled, it is otherwise a rather disappointing offering.",0.676666667
Avenger,Dodge,2014,https://www.caranddriver.com/dodge/avenger,"Despite a thorough update in 2011, the Avenger has become less competitive as it nears the end of its life cycle—2014 was its last year in production.",0.676666667
Caliber,Dodge,2012,https://www.caranddriver.com/dodge/caliber,"There's a five-speed manual and a continuously variable automatic transmission (CVT), which you should avoid if possible.",0.676666667
Magnum,Dodge,2008,https://www.caranddriver.com/dodge/magnum,"This is the wagon version of the 10Best-winning rear-drive Chrysler 300, and it oozes with swagger.",0.676666667
Nitro,Dodge,2011,https://www.caranddriver.com/dodge/nitro,The Nitro is a compact sport-utility with typical in-your-face Dodge styling.,0.676666667
296GTB,Ferrari,2022,https://www.caranddriver.com/ferrari/296-gtb,"With compact dimensions and a plug-in-hybrid powertrain, the new Ferrari 296GTB mixes the company's supercar ethos with cutting-edge technology.",
Roma,Ferrari,2022,https://www.caranddriver.com/ferrari/roma,"For everyone who forgot, the Ferrari Roma reminds them that the Italian automaker still knows how to make a pretty front-engine coupe that's great to drive. ",
SF90 Stradale / Spider,Ferrari,2022,https://www.caranddriver.com/ferrari/sf90-stradale,"Thanks to a plug-in hybrid powertrain with almost 1000 horsepower, the Ferrari SF90 is the quickest accelerating car we've ever tested. ",
812 Superfast / GTS,Ferrari,2021,https://www.caranddriver.com/ferrari/812-superfast,"The convertible GTS joins the Superfast coupe for 2021, rounding out Ferrari's V-12 grand-touring lineup. ",
F8 Tributo / Spider,Ferrari,2021,https://www.caranddriver.com/ferrari/f8-tributo-spider,The Ferrari F8 Tributo coupe and Spider convertible possess two supercar hallmarks—exotic bodywork and exciting performance. ,
Portofino M,Ferrari,2021,https://www.caranddriver.com/ferrari/portofino,"With irresistible looks and thrilling performance, the Portofino is a stunning grand-touring masterpiece. ",
Purosangue,Ferrari,2022,https://www.caranddriver.com/ferrari/purosangue,"Purists may be shocked at plans for the 2022 Purosangue, Ferrari's first SUV, but there's no need to fear that it will eschew the brand's values. ",
488 Pista,Ferrari,2020,https://www.caranddriver.com/ferrari/488,"A treat for the senses, the Ferrari 488 Pista is a masterpiece of stunning design and thrilling performance. ",
GTC4Lusso,Ferrari,2020,https://www.caranddriver.com/ferrari/gtc4lusso,"With a choice of powertrains, optional all-wheel drive, and enough room for four, the GTC4Lusso is a Ferrari you can drive every day of the year. ",
California T,Ferrari,2017,https://www.caranddriver.com/ferrari/california-t,"The California T is Ferrari's return to forced induction, but where the last turbo Ferrari was the beastly F40, the T is far tamer.",
F12berlinetta,Ferrari,2016,https://www.caranddriver.com/ferrari/f12berlinetta,"Sure, it costs more than a house, but the metal-melting aria from that incredibly operatic engine is priceless.",
FF,Ferrari,2016,https://www.caranddriver.com/ferrari/ff,The FF continues Ferrari's tradition of offering at least one curious—often plus-sized—four-seater in its lineup.,
LaFerrari,Ferrari,2015,https://www.caranddriver.com/ferrari/laferrari,"Above sports cars, there are exotic sports cars—and then there's the LaFerrari.",
599GTB Fiorano,Ferrari,2012,https://www.caranddriver.com/ferrari/599gtb-fiorano,"Ferrari's most expensive offering, the front-engine 599 features aluminum construction, a thrilling V-12, and a driving experience that makes the price tag seem like a bargain.",
F430,Ferrari,2010,https://www.caranddriver.com/ferrari/f430,"The F430 coupe and droptop Spider are fabulous cars, but the harder-core Scuderia models (the 430 Scuderia and 430 Scuderia Spider 16M) are even better.",
500X,Fiat,2022,https://www.caranddriver.com/fiat/500x,"Although it shares its underpinnings with the boxy Jeep Renegade, the 2022 Fiat 500X goes its own way with charming retro styling and a decidedly on-road focus. ",0
124 Spider,Fiat,2020,https://www.caranddriver.com/fiat/124-spider,The 124 Spider features a quieter cabin with a nicer interior and more trunk space than the Mazda Miata upon which it's based. ,0
500L,Fiat,2020,https://www.caranddriver.com/fiat/500l,"Despite vast cargo space, great visibility, and standard Apple CarPlay/Android Auto integration, the 500L is awkward to drive, awkward to behold, and impossible to love. ",0
500,Fiat,2019,https://www.caranddriver.com/fiat/500,Say goodbye to boring with this adorable scoop of Italian gelato—the Fiat 500 is ready to brighten up your garage.,0
500 Abarth,Fiat,2019,https://www.caranddriver.com/fiat/500-500c-abarth,"The tiny 500 goes from pipsqueak to badass as the hot-rod Abarth, the heart of which is a raucous 160-hp turbocharged four-cylinder.",0
500e,Fiat,2019,https://www.caranddriver.com/fiat/500e,"With its tiny size, zippy handling, and an EPA-estimated range of 84 miles, the 500e is a fine city car—as long as you don't need to go anywhere else.",0
Ocean,Fisker,2023,https://www.caranddriver.com/fisker/ocean,The all-electric 2023 Fisker Ocean looks to be an affordable and attractive alternative to the Tesla Model Y and other EV SUVs. ,
Karma,Fisker,2013,https://www.caranddriver.com/fisker/karma,"The cheapest version,the EcoStandard, costs $103,000.",
F-150 Lightning,Ford,2022,https://www.caranddriver.com/ford/f-150-lightning,"Ford is gearing up to enter the nascent all-electric pickup truck marketplace with the 2022 F-150 Lightning, which we expect to be both practical and desirable. ",0.55
Bronco Raptor,Ford,2023,https://www.caranddriver.com/ford/bronco-raptor,"The Ford Bronco Raptor will likely rock a powerful twin-turbo V-6, a seriously sturdy suspension, and hardcore off-road hardware to become the ultimate Bronco.",0.61
Ranger,Ford,2023,https://www.caranddriver.com/ford/ranger,Ford's mid-size Ranger is getting a re-do for 2023 that should give it the ammunition it needs to continue its charge in the pickup truck wars.,0.45
Ranger Raptor,Ford,2023,https://www.caranddriver.com/ford/ranger-raptor,"With bulging bodywork and off-road-ready hardware, the Ford Ranger Raptor downsizes the badass style and rip-roaring thrills of the larger F-150 Raptor.",0.45
Bronco,Ford,2022,https://www.caranddriver.com/ford/bronco,The Ford Bronco is more than a retro-styled off-roader; its capability matched by a civility that vaults this mid-size SUV ahead of the Jeep Wrangler. ,0.61
Bronco Sport,Ford,2022,https://www.caranddriver.com/ford/bronco-sport,"The Ford Bronco Sport compact SUV looks like a baby version of the big Bronco, but thoughtful features and a capable off-road model make it delightful in its own right.",0.61
E-Transit,Ford,2022,https://www.caranddriver.com/ford/e-transit,The 2022 E-Transit will be a new nameplate for the Ford lineup when it goes on sale in 2021 and will be the first electric full-size commercial van on the U.S. market.,0.15
EcoSport,Ford,2022,https://www.caranddriver.com/ford/ecosport,"Apart from a notable tow rating and standard all-wheel drive, the Ford EcoSport is a flawed subcompact SUV that's not long for this world. ",0.16
Edge,Ford,2022,https://www.caranddriver.com/ford/edge,"With many mid-size SUVs offering three-row layouts, the 2022 Ford Edge is among a rarer group that prioritizes two-row comfort over maximum people-hauling. ",0.41
Escape,Ford,2022,https://www.caranddriver.com/ford/escape,"Ford's flashy Bronco signals the brand's fresh focus on off-the-grid adventure, but its bread-and-butter Escape crossover still caters to the on-road crowd. ",0.4
Expedition,Ford,2022,https://www.caranddriver.com/ford/expedition,"The Ford Expedition has the spaciousness, stylishness, and tech-savviness that SUV shoppers want but isn't as refined or as nice to drive as many rivals. ",0.6
Explorer,Ford,2022,https://www.caranddriver.com/ford/explorer,"The 2022 Ford Explorer is a well-rounded and fairly practical three-row SUV with a few compromises, but overall it's a decent choice in a crowded segment. ",0.48
GT,Ford,2022,https://www.caranddriver.com/ford/gt,"The Ford GT impersonates the famous GT40 race car, but its 660-hp boosted V-6 and transformative aero and chassis parts prove the connection is only skin deep. ",0.12
Maverick,Ford,2022,https://www.caranddriver.com/ford/maverick,"Small trucks are making a comeback, and the 2022 Ford Maverick may be the first to launch what could be the next frontier in the American pickup wars.",0.392857143
Mustang,Ford,2022,https://www.caranddriver.com/ford/mustang,"With a range of performance upgrades and myriad personalization options, there's a Ford Mustang for everyone, which is why it's still the definitive pony car.",0.77
Mustang Mach-E,Ford,2022,https://www.caranddriver.com/ford/mustang-mach-e,"With fun driving traits and notable range, the stylish Ford Mustang Mach-E moves is a top-rank electric vehicle that also happens to be a terrific crossover.",0.77
Mustang Shelby GT500,Ford,2022,https://www.caranddriver.com/ford/mustang-shelby-gt500,"Despite performance numbers that rival exotic sports cars, the Ford Mustang Shelby GT500 is easy to live with, making it equal parts pony car and thrill ride. ",0.12
Super Duty,Ford,2022,https://www.caranddriver.com/ford/super-duty,"Ford Super Duty pickup trucks live up to their name, with hugely impressive capabilities and an array of modern technologies. ",0.392857143
F-150,Ford,2021,https://www.caranddriver.com/ford/f-150,"From stripped-down work truck to chrome-laden luxury rig, there's a Ford F-150 model to suit every purpose, and for 2021 all of those variants are brand new. ",0.55
F-150 Raptor,Ford,2021,https://www.caranddriver.com/ford/f-150-raptor,The third-generation Ford F-150 Raptor looks to improve on the intimidating image and desert-pounding capabilities that made the high-performance truck famous. ,0.55
Ford Fusion Active,Ford,2021,https://www.caranddriver.com/ford/fusion-active,The upcoming Ford Fusion Active is expected to replace the outgoing sedan and compete against rugged station wagons such as the Subaru Outback.,0.392857143
Transit,Ford,2021,https://www.caranddriver.com/ford/transit,"The Transit lineup has models that can haul lots of people or large loads of cargo, and offers Ford's latest driver-assistance features and safety tech.  ",0.15
Transit Connect,Ford,2021,https://www.caranddriver.com/ford/transit-connect,"The Ford Transit Connect isn't the most refined machine, but this city van is a highly configurable and extremely versatile tool for tradespeople and more. ",0.15
Fusion / Fusion Hybrid,Ford,2020,https://www.caranddriver.com/ford/fusion,"With a plethora of turbocharged and hybrid powertrains, the 2020 Ford Fusion offers buyers lots to choose from but lacks a point of view.",0.392857143
Mustang Shelby GT350,Ford,2020,https://www.caranddriver.com/ford/mustang-shelby-gt350-gt350r,"The 2020 Ford Mustang Shelby GT350 is a powerful, high-strung muscle car designed to rock race tracks while still being at home on the street.",0.12
Fiesta,Ford,2019,https://www.caranddriver.com/ford/fiesta,"Though the Fiesta might be small, it is still mighty fierce.",0.475
Fiesta ST,Ford,2019,https://www.caranddriver.com/ford/fiesta-st,"The Fiesta ST isn't as badass as the die-hard Ford Focus RS, but that makes it all the more lovable, er, fun.",0.475
Flex,Ford,2019,https://www.caranddriver.com/ford/flex,The funky 2019 Flex is Ford's answer to those seeking a modern version of the old-school station wagon.,0.392857143
Taurus,Ford,2019,https://www.caranddriver.com/ford/taurus,"Once a household name, the Ford Taurus is now destined for the great scrap-heap in the sky as 2019 will be its last year on sale.",0
C-Max,Ford,2018,https://www.caranddriver.com/ford/c-max,"While comfortable and competent, the C-Max's high EPA-estimated fuel-economy numbers are basically fantasy.",0.392857143
Focus,Ford,2018,https://www.caranddriver.com/ford/focus,"The Focus ceased production in 2018, but as a used car it's a great value either as a hatchback or a sedan.",0.392857143
Focus Electric,Ford,2018,https://www.caranddriver.com/ford/focus-electric,"You might miss the exhaust note, but otherwise the Focus Electric is very similar to its gasoline-powered sibling.",0.392857143
Focus RS,Ford,2018,https://www.caranddriver.com/ford/focus-rs,All good things must come to an end: The fantastic Ford Focus RS enters its final year of production packed with performance paraphernalia and ready to desecrate a racetrack near you.,0.01
Focus ST,Ford,2018,https://www.caranddriver.com/ford/focus-st,The Focus ST satisfies performance fanatics who can't afford the track-ready Focus RS or want more power and practicality than the terrific albeit tiny Ford Fiesta ST.,0.392857143
C-Max / C-Max Energi,Ford,2017,https://www.caranddriver.com/ford/c-max-c-max-energi-2017,"The Ford C-Max and C-Max Energi have their virtues, but for many buyers these might not justify the hybrid price premium.",0.392857143
F-Series Super Duty,Ford,2017,https://www.caranddriver.com/ford/f-series-super-duty-2017,The aptly named Super Duty pickups will suit buyers who need to haul or tow the biggest loads.,0.475
Explorer Sport Trac,Ford,2010,https://www.caranddriver.com/ford/explorer-sport-trac,The Sport Trac is an Explorer SUV with a pickup bed out back.,0.48
Taurus X,Ford,2009,https://www.caranddriver.com/ford/taurus-x,"The nicely packaged Freestyle became the Taurus X for 2008 and received a bolder front-end sheetmetal, an available power liftgate, and one-touch folding second-row seats.",0
Electrified GV70,Genesis,2023,https://www.caranddriver.com/genesis/electrified-gv70,"Genesis's third EV will be the Electrified GV70 SUV, which swaps the regular GV70's gasoline engine for two electric motors good for 483 horsepower. ",0.025
G70,Genesis,2022,https://www.caranddriver.com/genesis/g70,"Serving as the entry point to the Genesis luxury brand, the 2022 G70 sedan has a big responsibility, one that it's more than capable of tackling. ",0.05
G80,Genesis,2022,https://www.caranddriver.com/genesis/g80,"From its unique thin-strip headlights to its gigantic pentagonal grille to its slippery bodywork and sloping roofline, the 2022 Genesis G80 is a rolling beauty. ",0
Electrified G80,Genesis,2022,https://www.caranddriver.com/genesis/electrified-g80,"The first EV from Genesis will be the 2022 Electrified G80 sedan, set to launch by the end of 2021 and boast a range of around 265 miles per charge. ",0
GV70,Genesis,2022,https://www.caranddriver.com/genesis/gv70,The GV70 is the first compact-luxury SUV to be offered by the Genesis luxury brand and it's an impressive first effort that's on track to disrupt the segment.,0.025
GV80,Genesis,2021,https://www.caranddriver.com/genesis/gv80,"With a sumptuously appointed and whisper-quiet cabin, the 2021 GV80 is exactly the flagship SUV the Genesis brand needs to be taken seriously by Americans.",0.05
G90,Genesis,2021,https://www.caranddriver.com/genesis/g90,"Every now and then a car comes along that's so good at doing its job that it defies all logic, and the effortlessly plush 2021 Genesis G90 is one such car. ",0
Hummer EV,GMC,2022,https://www.caranddriver.com/gmc/hummer-ev,"The gas-guzzling Hummer brand of old is poised to make a comeback for 2022 as an all-electric sub-brand of GMC, starting with an EV pickup truck. ",0.478
Hummer EV SUV,GMC,2024,https://www.caranddriver.com/gmc/hummer-ev-suv,"The all-electric GMC Hummer EV SUV will have a much smaller impact on carbon emissions than its infamous gas-powered predecessors, and a big impact on EVs. ",0.478
Sierra EV,GMC,2023,https://www.caranddriver.com/gmc/sierra-ev,"GMC will launch a Sierra EV pickup with electric power that's likely to be similar to the upcoming Silverado EV, much like the relationship between the gas-fueled trucks. ",0.46
Acadia,GMC,2022,https://www.caranddriver.com/gmc/acadia,"On the surface, the 2022 GMC Acadia's handsome exterior design and spacious interior make it a good family SUV, but others in this price range offer more value.",0.49
Canyon,GMC,2022,https://www.caranddriver.com/gmc/canyon,"The GMC Canyon has limited driver assists and a lackluster interior, but it offers compelling powertrains and higher capabilities than some mid-size rivals. ",0.6
Sierra 1500,GMC,2022,https://www.caranddriver.com/gmc/sierra-1500,"The GMC Sierra 1500 is stuffed with dazzling tech features, offers a slew of desirable engines, and its cabin is now truly luxurious in the Denali Ultimate. ",0.46
Terrain,GMC,2022,https://www.caranddriver.com/gmc/terrain,"The 2022 GMC Terrain's handsome styling and upscale price tag promise a lot, but it fails to medal in the compact-SUV Olympics.",0.38
